DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Feb-2026,EQ,"913.00","928.20","901.00","920.60","903.90","903.90","912.26","2,037.70","901.00",50188359,"45,78,48,29,506.25",361977
12-Feb-2026,EQ,"927.00","928.60","918.50","927.10","919.75","920.60","922.37","2,037.70","905.00",33872203,"31,24,26,14,792.65",425115
11-Feb-2026,EQ,"931.25","936.00","925.30","932.40","926.80","927.10","928.91","2,037.70","905.00",24869804,"23,10,17,39,084.15",368828
10-Feb-2026,EQ,"930.00","940.90","929.95","937.25","932.60","932.40","933.93","2,037.70","905.00",31525385,"29,44,26,15,462.90",408707
09-Feb-2026,EQ,"945.00","950.00","935.35","941.10","938.80","937.25","938.27","2,037.70","905.00",23947829,"22,46,95,73,398.45",274371
06-Feb-2026,EQ,"945.00","948.10","937.60","949.70","941.00","941.10","941.73","2,037.70","905.00",18120272,"17,06,43,39,108.70",423858
05-Feb-2026,EQ,"956.00","956.05","946.70","953.10","949.70","949.70","950.22","2,037.70","905.00",28103169,"26,70,43,14,508.90",372775
04-Feb-2026,EQ,"952.50","957.20","947.95","948.70","949.00","953.10","952.91","2,037.70","905.00",24366770,"23,21,94,30,282.65",251099
03-Feb-2026,EQ,"983.75","994.00","945.00","928.10","947.65","948.70","954.45","2,037.70","905.00",50336968,"48,04,39,34,757.85",490165
02-Feb-2026,EQ,"915.00","929.80","909.30","922.10","928.10","928.10","924.14","2,037.70","905.00",28032106,"25,90,55,16,822.80",387552
01-Feb-2026,EQ,"932.00","939.65","912.65","929.25","918.05","922.10","929.20","2,037.70","905.00",9856486,"9,15,86,89,990.90",146417
30-Jan-2026,EQ,"930.00","938.90","927.75","935.50","929.00","929.25","931.84","2,037.70","905.00",29691233,"27,66,73,70,875.05",251637
29-Jan-2026,EQ,"930.10","939.30","924.35","932.70","935.00","935.50","933.24","2,037.70","905.00",37175628,"34,69,37,41,736.20",420812
28-Jan-2026,EQ,"932.50","941.45","928.40","926.40","932.40","932.70","934.95","2,037.70","905.00",35347138,"33,04,77,87,224.50",272519
27-Jan-2026,EQ,"906.00","931.20","905.00","916.10","928.00","926.40","917.11","2,037.70","905.00",44753093,"41,04,34,45,636.30",483204
23-Jan-2026,EQ,"920.00","926.10","909.25","918.70","915.80","916.10","916.45","2,037.70","909.25",30985247,"28,39,64,80,018.55",335766
22-Jan-2026,EQ,"928.00","928.30","913.20","920.35","921.00","918.70","918.56","2,037.70","913.20",44444755,"40,82,53,01,054.65",572341
21-Jan-2026,EQ,"925.00","932.15","915.50","931.20","921.00","920.35","924.64","2,037.70","915.50",32766854,"30,29,75,28,335.75",351406
20-Jan-2026,EQ,"929.30","934.50","919.60","927.90","930.50","931.20","930.12","2,037.70","919.20",36022727,"33,50,55,44,795.30",357134
19-Jan-2026,EQ,"935.90","936.15","919.50","931.10","925.95","927.90","927.58","2,037.70","919.20",38191942,"35,42,60,72,965.65",432335
16-Jan-2026,EQ,"922.00","935.95","919.20","925.45","930.55","931.10","929.18","2,037.70","919.20",37780235,"35,10,44,52,366.25",361119
14-Jan-2026,EQ,"930.00","940.05","920.20","937.35","925.00","925.45","929.85","2,037.70","920.20",36688248,"34,11,44,24,012.75",306076
13-Jan-2026,EQ,"947.70","947.70","932.60","936.95","934.75","937.35","940.27","2,037.70","929.60",32042827,"30,12,90,21,006.45",348726
12-Jan-2026,EQ,"937.50","942.00","929.60","939.00","936.40","936.95","936.87","2,037.70","929.60",21071666,"19,74,13,46,998.05",282222
09-Jan-2026,EQ,"945.00","950.60","933.30","946.70","939.00","939.00","940.91","2,037.70","933.30",38183839,"35,92,75,36,459.55",324301
08-Jan-2026,EQ,"944.70","953.00","941.40","949.05","948.00","946.70","947.59","2,037.70","939.10",21928849,"20,77,96,38,865.45",316595
07-Jan-2026,EQ,"956.00","956.45","946.00","962.20","950.25","949.05","950.10","2,037.70","939.10",52884712,"50,24,57,38,779.65",414168
